t^p_become_fine,PRS.become_fine
t^p_become_firm,PRS.become_firm
t^p_become_parallel,PRS.become_parallel
t^p_become_silent,PRS.become_silent
t^p_become_strong,PRS.become_strong
t^p_become_warm,PRS.become_warm
t^p_become_warm/c,PRS.become_warm.CAUS
t^p_beg,PRS.beg
t^p_begin,PRS.begin
t^p_be_alike,PRS.be_alike
t^p_be_bitter,PRS.be_bitter
t^p_be_cold,PRS.be_cold
t^p_be_convinced,PRS.be_convinced
t^p_be_difficult,PRS.be_difficult
t^p_be_equal,PRS.be_equal
t^p_be_glad,PRS.be_glad
t^p_be_greedy,PRS.be_greedy
t^p_be_inclined,PRS.be_inclined
t^p_be_like,PRS.be_like
t^p_be_loose,PRS.be_loose
t^p_be_out_of_game,PRS.be_out_of_game
t^p_be_ready_to_eat,PRS.be_ready_to_eat
t^p_be_scandalized,PRS.be_scandalized
t^p_be_sick,PRS.be_sick
t^p_be_sorry,PRS.be_sorry
t^p_be_thankful,PRS.be_thankful
t^p_be_unbecoming,PRS.be_unbecoming
t^p_bind,PRS.bind
t^p_bite,PRS.bite
t^p_blink,PRS.blink
t^p_blow_fire,PRS.blow_fire
t^p_borrow,PRS.borrow
t^p_bother,PRS.bother
t^p_break,PRS.break
t^p_break_piece,PRS.break_piece
t^p_bring_down,PRS.bring_down
t^p_bruise,PRS.bruise
t^p_build,PRS.build
t^p_burn,PRS.burn
t^p_button,PRS.button
t^p_buy,PRS.buy
t^p_call,PRS.call
t^p_call_to,PRS.call_to
t^p_carry_on_back,PRS.carry_on_back
t^p_catch,PRS.catch
t^p_cause_to_fall,PRS.cause_to_fall
t^p_change,PRS.change
t^p_chat,PRS.chat
t^p_chew_hard_thing,PRS.chew_hard_thing
t^p_choose,PRS.choose
t^p_chop,PRS.chop
t^p_clap_hands,PRS.clap_hands
t^p_clean,PRS.clean
t^p_clean_with_stone,PRS.clean_with_stone
t^p_climb,PRS.climb
t^p_close,PRS.close
t^p_coil,PRS.coil
t^p_collide_with,PRS.collide_with
t^p_come,PRS.come
t^p_come_back,PRS.come_back
t^p_come_from,PRS.come_from
t^p_cook,PRS.cook
t^p_cool,PRS.cool
t^p_correct,PRS.correct
t^p_cough,PRS.cough
t^p_count,PRS.count
t^p_cover,PRS.cover
t^p_cover/rv,PRS.cover.REVERS
t^p_crash,PRS.crash
t^p_crawl,PRS.crawl
t^p_cream,PRS.cream
t^p_cross,PRS.cross
t^p_crush,PRS.crush
t^p_cry,PRS.cry
t^p_cure,PRS.cure
t^p_cut,PRS.cut
t^p_cut_into_small_pieces,PRS.cut_into_small_pieces
t^p_cut_off,PRS.cut_off
t^p_dance_and_sing_own_praises,PRS.dance_and_sing_own_praises
t^p_dance_on_knees,PRS.dance_on_knees
t^p_deceive,PRS.deceive
t^p_defecate,PRS.defecate
t^p_delay,PRS.delay
t^p_descend,PRS.descend
t^p_desire,PRS.desire
t^p_die,PRS.die
t^p_dig,PRS.dig
t^p_dip,PRS.dip
t^p_disappear,PRS.disappear
t^p_disapprove,PRS.disapprove
t^p_disgust/c,PRS.disgust.CAUS
t^p_dislocate,PRS.dislocate
t^p_disperse,PRS.disperse
